sleep_hours,mental_well_being,exercise_frequency,stress_level_1,stress_level_2,stress_level_3,stress_level_4,stress_level_5
7.0,2.0,3.413701431492843,1,0,0,0,0
7.0,4.0,2.0,0,1,0,0,0
7.0,5.0,6.0,0,0,0,1,0
6.5,2.0,2.0,0,0,0,1,0
4.0,4.0,2.0,0,0,0,0,1
7.0,2.0,1.0,0,0,1,0,0
7.0,5.0,1.0,0,0,0,1,0
6.0,0.0,7.0,0,0,1,0,0
6.0,2.0,6.0,0,0,1,0,0
7.0,3.4820359281437128,5.0,0,1,0,0,0
6.0,2.0,7.0,0,0,0,1,0
7.0,3.0,3.0,0,1,0,0,0
7.0,0.0,2.0,1,0,0,0,0
7.0,3.0,7.0,0,0,0,1,0
6.0,2.0,2.0,0,0,1,0,0
6.0,7.0,7.0,0,0,1,0,0
7.0,4.0,2.0,0,0,1,0,0
7.0,5.0,2.0,0,0,0,1,0
7.0,2.0,5.0,0,0,1,0,0
6.0,7.0,4.0,0,0,0,1,0
7.0,5.0,3.0,0,0,0,1,0
7.0,0.0,3.0,0,0,1,0,0
7.0,5.0,3.0,0,1,0,0,0
6.0,0.0,2.0,0,0,1,0,0
7.0,5.0,6.0,0,0,1,0,0
7.0,2.0,4.0,0,0,1,0,0
7.0,2.0,3.0,0,0,1,0,0
6.5,5.0,3.0,0,0,1,0,0
7.0,2.0,4.0,0,0,1,0,0
